Id,ELEMID,ENTINAME,price
2197,510100I0000004373,老西街66号院,4940.399
2630,510100I0000005056,丽华绿荫居,4943.406
2447,510100I0000004793,东街三巷68号,4944.9995
2786,510100I0000005454,怡湖西路1号院,4952.9995
2757,510100I0000005397,华金大道624号院,4959.002
6074,510100I0000055615,一环路西南段107号院,4970.0005
2824,510100I0000005517,同怡苑,4974.3203
3754,510100I0000035054,安全巷7号院,4980.999
6147,510100I0000055726,新南街6号院,4986.674
2838,510100I0000005542,大弯新村,4991.87
3676,510100I0000007901,团结巷15号院,4999.998
5792,510100I0000055164,荷塘路132号院,4999.998
2628,510100I0000005051,紫瑞街一巷58号院,5004.998
6390,510100I0000056208,北大街89号院,5012.9995
3734,510100I0000008042,四川光油种业有限公司家属院,5014.2856
2823,510100I0000005516,怡馨花园,5045.003
3584,510100I0000007768,柳春苑,5055.9995
2889,510100I0000005632,红阳二小区,5058.025
3630,510100I0000007840,金江大厦,5067
6346,510100I0000056140,西大街151号院,5071.298
2868,510100I0000005598,新河五队,5071.9995
6403,510100I0000056232,西大街26-76号院,5083.001
3540,510100I0000007691,大修厂宿舍,5101.5327
6078,510100I0000055620,新南街250号院,5102
3629,510100I0000007839,大南街9号院,5106.0005
2375,510100I0000004643,芙蓉花艺术园,5110.283
2859,510100I0000005585,永兴花园,5112.272
2452,510100I0000004799,圣谕亭巷334号院,5116.3247
2839,510100I0000005545,怡城北居,5134.346
2633,510100I0000005059,天晨美墅庭院,5134.3564
3513,510100I0000007650,来凤路436号小区,5135.2036
4421,510100I0000049070,鱼凫路社区,5135.62
2781,510100I0000005444,怡湖小区,5136.1
3138,510100I0000006473,泽瀚壹景,5138.133
1637,510100I0000003029,/,5144.002
2488,510100I0000004840,桂湖东路182号院,5144.9976
2895,510100I0000005639,红阳一区,5155.73
2723,510100I0000005345,青江花园,5178.812
2910,510100I0000005657,杨柳路2号院,5179.677
1584,510100I0000002939,沙西明珠,5182.908
2578,510100I0000004985,新光路1号院,5185.444
2967,510100I0000005949,紫苑小区,5222.3223
3671,510100I0000007896,南兴小院,5225.9995
2569,510100I0000004972,宝光大道北段168号院,5247.8247
2583,510100I0000004991,东环路五巷87号院,5248.6255
2649,510100I0000005078,上升二巷5号政府家属院,5249.001
4408,510100I0000048830,世界花园,5249.4214
2971,510100I0000005959,锦绣北苑,5265.9985
11097,510100I0000068483,府河公馆,5265.9985
6361,510100I0000056162,平安小区,5283.9976
6070,510100I0000055610,南兴巷5号院,5284.0684
7755,510100I0000059209,临江路10号院,5289.998
2683,510100I0000005129,湖滨路348号院,5294
3579,510100I0000007756,温江移动分公司家属院,5301.0024
3606,510100I0000007807,泰康东路52号院,5301.103
8746,510100I0000063923,长冶路一段37号院,5307.0015
4229,510100I0000037149,西部石油苑,5307.2144
2983,510100I0000006022,和盛花园,5310.733
2717,510100I0000005338,城北小区,5319.025
2791,510100I0000005461,政府中路80号院,5320.9985
3658,510100I0000007880,凤溪大道北段40号院,5329.998
2040,510100I0000004095,天府上河居,5330.715
3593,510100I0000007784,农业机械化学校家属区,5330.9995
17178,510100I0000086176,/,5344
3565,510100I0000007729,春晖苑,5344.9995
6146,510100I0000055725,西大街111号院,5353.9985
6150,510100I0000055729,景德二巷102号院,5356.629
2606,510100I0000005022,东街38号院,5369.538
6124,510100I0000055698,游龙小区,5378.804
2571,510100I0000004978,紫瑞街一巷59号院,5389.999
2760,510100I0000005404,政府中路216号院,5390.667
3148,510100I0000006507,巨获花园,5392.94
2956,510100I0000005891,怡东园,5396.1504
2770,510100I0000005427,华金苑,5396.999
3653,510100I0000007874,大南街61号院,5400.0005
2373,510100I0000004638,桑园街102号院,5401.4893
7780,510100I0000059246,太平街35号院,5402.9985
6057,510100I0000055593,南大街247号院,5414.6826
2366,510100I0000004629,西街35号院,5417.373
6054,510100I0000055590,静雅小区,5417.998
3164,510100I0000006588,福新街22号院,5420.0967
3472,510100I0000007588,森源家园,5443.0024
2364,510100I0000004627,勤俭巷75号院,5444.736
6602,510100I0000056688,绿洲庄园,5445.9985
6160,510100I0000055744,和兴街3号院,5449.0015
2931,510100I0000005695,文化苑小区,5459.4614
2803,510100I0000005477,政府中路91号院9栋,5462.732
6066,510100I0000055606,南兴巷3号院,5463.138
2787,510100I0000005455,教育街小区,5467.355
6123,510100I0000055697,东大街202号院,5468.8
2887,510100I0000005626,新城花园,5468.9976
2612,510100I0000005028,圣谕亭巷283号院,5471.9976
2924,510100I0000005684,汇鑫花园,5476.0015
2414,510100I0000004723,湖滨路336号院,5494.001
7842,510100I0000059362,芙蓉家苑,5494.289
4424,510100I0000049112,清江中路215号院,5498.037
3713,510100I0000008000,花香民居,5506.6113
2343,510100I0000004576,鑫和苑,5507.6772
6660,510100I0000056783,新桂苑,5507.998
2840,510100I0000005546,凤凰小区,5508.481
3657,510100I0000007879,水务局家属楼,5516.998
2469,510100I0000004816,南宁小区,5522.2305
3377,510100I0000007459,温江农机厂宿舍,5522.999
2512,510100I0000004884,圣谕亭巷234号院,5524
3021,510100I0000006158,绣水蓝庭,5540.3125
2861,510100I0000005587,富源苑,5545.732
2405,510100I0000004707,新新街159号院,5549.001
2795,510100I0000005469,政府中路30号院,5564.3853
2652,510100I0000005082,菜市巷136号院,5574.4443
6313,510100I0000056101,竹溪园小区,5575.9546
2196,510100I0000004372,西大街441号院,5582.9834
6140,510100I0000055717,西大街89号院,5594.9976
2627,510100I0000005050,紫瑞街一巷127号院,5595.0083
2721,510100I0000005343,石家碾西路75号院,5595.2163
3662,510100I0000007885,文武路71号附4号院,5595.7554
1831,510100I0000003756,杜鹃城,5598.4834
2450,510100I0000004797,东环路38号院,5599.8174
3077,510100I0000006317,丽都半岛,5600.998
2755,510100I0000005393,光华苑,5602.2324
3594,510100I0000007791,友谊小区,5609.2407
2524,510100I0000004906,紫瑞街一巷33号院,5614.02
6129,510100I0000055703,南大街34号院,5627.0024
2972,510100I0000005970,锦绣南苑,5627.4585
3755,510100I0000035055,安全巷5号院,5630.5938
6319,510100I0000056109,新南街95号院,5633.671
4325,510100I0000046489,川化五村一区,5636.2666
2503,510100I0000004867,状元街居民院,5636.8794
3117,510100I0000006428,同心苑,5638.9985
2621,510100I0000005037,北新路396号院,5639.4336
2970,510100I0000005957,川化一村,5641.397
6125,510100I0000055699,东顺巷2号院,5643.426
2746,510100I0000005381,中国中铁二局第四工程有限公司,5648.1855
2573,510100I0000004980,紫瑞街一巷35号院,5651.9683
6245,510100I0000055953,福博苑,5652.0005
4365,510100I0000047832,温江二中园丁小区（B区）,5656.7456
2504,510100I0000004873,福音巷27号院,5666.362
